timestamp,bus_id,house_count,solar_mw,demand_mw,micro_price,battery_soc_pct,grid_frequency_hz
00:00:00,BUS-05,100,0.0,1.2,5.2902,40.019,49.9868
00:00:10,BUS-05,100,0.0,1.184,5.2737,40.038,49.985
00:00:20,BUS-05,100,0.0,1.2011,5.2857,40.057,49.9903
00:00:30,BUS-05,100,0.0,1.1888,5.3027,40.077,49.9919
00:00:40,BUS-05,100,0.0,1.2019,5.2955,40.096,49.9874
00:00:50,BUS-05,100,0.0,1.2125,5.2873,40.115,49.9817
00:01:00,BUS-05,100,0.0,1.1658,5.2543,40.134,49.9775
00:01:10,BUS-05,100,0.0,1.1958,5.3014,40.153,49.9729
00:01:20,BUS-05,100,0.0,1.2028,5.2429,40.172,49.9734
00:01:30,BUS-05,100,0.0,1.1903,5.2976,40.192,49.9745
00:01:40,BUS-05,100,0.0,1.1725,5.2731,40.211,49.974
00:01:50,BUS-05,100,0.0,1.1854,5.2777,40.23,49.9792
00:02:00,BUS-05,100,0.0,1.1994,5.2836,40.249,49.9833
00:02:10,BUS-05,100,0.0,1.198,5.2972,40.268,49.984
00:02:20,BUS-05,100,0.0,1.1779,5.323,40.288,49.9847
00:02:30,BUS-05,100,0.0,1.1722,5.2963,40.307,49.9883
00:02:40,BUS-05,100,0.0,1.1885,5.3112,40.326,49.9959
00:02:50,BUS-05,100,0.0,1.1784,5.3065,40.345,49.9953
00:03:00,BUS-05,100,0.0,1.1966,5.2943,40.364,49.9968
00:03:10,BUS-05,100,0.0,1.212,5.2826,40.383,50.0013
00:03:20,BUS-05,100,0.0,1.2037,5.299,40.403,49.998
00:03:30,BUS-05,100,0.0,1.1786,5.2901,40.422,49.9947
00:03:40,BUS-05,100,0.0,1.2162,5.2692,40.441,49.9979
00:03:50,BUS-05,100,0.0,1.1857,5.2527,40.46,49.9996
00:04:00,BUS-05,100,0.0,1.1917,5.322,40.479,49.9978
00:04:10,BUS-05,100,0.0,1.2124,5.2892,40.498,49.995
00:04:20,BUS-05,100,0.0,1.1955,5.2866,40.517,50.0004
00:04:30,BUS-05,100,0.0,1.1945,5.293,40.537,50.0003
